Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
0,"Anton Schreuder, Ibtissam Mokadem, Nori J L Smeets, Marc E A Spaanderman, Nel Roeleveld, Angela Lupattelli, Marleen M H J van Gelder","Associations of periconceptional oral contraceptive use with pregnancy complications and adverse birth outcomes.",2023,"International journal of epidemiology","","","",1,"2023-04-11 18:38:36","Journal Article","10.1093/ije/dyad045","1464-3685","",,,,,0,0.00,0,7,1,"Periconceptional use of oral contraceptives (OCs) has been reported to increase risks of pregnancy complications and adverse birth outcomes, but risks are suggested to differ depending on the timing of discontinuation, amount of oestrogen and progestin content. Prospective cohort study among 6470 pregnancies included in the PRegnancy and Infant DEvelopment (PRIDE) Study in 2012-19. Exposure was defined as any reported use of OCs within 12 months pre-pregnancy or after conception. Outcomes of interest were gestational diabetes, gestational hypertension, pre-eclampsia, pre-term birth, low birthweight and small for gestational age (SGA). Multivariable Poisson regression using stabilized inverse probability weighting estimated relative risks (RRs) with 95% CIs. Any periconceptional OC use was associated with increased risks of pre-eclampsia (RR 1.38, 95% CI 0.99-1.93), pre-term birth (RR 1.38, 95% CI 1.09-1.75) and low birthweight (RR 1.45, 95% CI 1.10-1.92), but not with gestational hypertension (RR 1.09, 95% CI 0.91-1.31), gestational diabetes (RR 1.02, 95% CI 0.77-1.36) and SGA (RR 0.96, 95% CI 0.75-1.21). Associations with pre-eclampsia were strongest for discontinuation 0-3 months pre-pregnancy, for OCs containing ≥30 µg oestrogen and for first- or second-generation OCs. Pre-term birth and low birthweight were more likely to occur when OCs were discontinued 0-3 months pre-pregnancy, when using OCs containing <30 µg oestrogen and when using third-generation OCs. Associations with SGA were observed for OCs containing <30 µg oestrogen and for third- or fourth-generation OCs. Periconceptional OC use, particularly those containing oestrogen, was associated with increased risks of pre-eclampsia, pre-term birth, low birthweight and SGA.","",""
0,"Florian A Wenzl, Alessandro Mengozzi, Shafeeq A Mohammed, Nicola Riccardo Pugliese, Alessia Mongelli, Era Gorica, Samuele Ambrosini, Peter Riederer, Peter Fischer, Margareta Hinterberger, Yustina Puspitasari, Thomas F Lüscher, Giovanni G Camici, Christian M Matter, Gian Paolo Fadini, Agostino Virdis, Stefano Masi, Frank Ruschitzka, Edna Grünblatt, Francesco Paneni, Sarah Costantino","Circulating Long Noncoding RNA Signatures Associate With Incident Diabetes in Older Adults: a Prospective Analysis From the VITA Cohort Study.",2023,"Diabetes care","","","",2,"2023-04-11 18:38:36","Journal Article","10.2337/dc23-0012","1935-5548","",,,,,0,0.00,0,21,1,"Long noncoding RNAs (lncRNAs) are involved in diabetogenesis in experimental models, yet their role in humans is unclear. We investigated whether circulating lncRNAs associate with incident type 2 diabetes in older adults. A preselected panel of lncRNAs was measured in serum of individuals without diabetes (n = 296) from the Vienna Transdanube Aging study, a prospective community-based cohort study. Participants were followed up over 7.5 years. A second cohort of individuals with and without type 2 diabetes (n = 90) was used to validate our findings. Four lncRNAs (ANRIL, MIAT, RNCR3, and PLUTO) were associated with incident type 2 diabetes and linked to hemoglobin A1c trajectories throughout the 7.5-year follow-up. Similar results (for MIAT and PLUTO also in combined analysis) were obtained in the validation cohort. We found a set of circulating lncRNAs that independently portends incident type 2 diabetes in older adults years before disease onset.","",""
0,"Hongwei Liu, Jianxin Li, Fangchao Liu, Keyong Huang, Jie Cao, Shufeng Chen, Hongfan Li, Chong Shen, Dongsheng Hu, Jianfeng Huang, Xiangfeng Lu, Dongfeng Gu","Efficacy and safety of low levels of low-density lipoprotein cholesterol: trans-ancestry linear and non-linear Mendelian randomization analyses.",2023,"European journal of preventive cardiology","","","",3,"2023-04-11 18:38:36","Journal Article","10.1093/eurjpc/zwad111","2047-4881","",,,,,0,0.00,0,12,1,"LDL cholesterol (LDL-C) is a well-established risk factor for coronary artery disease (CAD). However, the optimal LDL-C level with regard to efficacy and safety remains unclear. We aimed to investigate the causal relationships between LDL-C and efficacy and safety outcomes. We analyzed 353,232 British from the UK Biobank and 41,271 Chinese from the China-PAR project. Linear and non-linear Mendelian randomization (MR) analyses were performed to evaluate the causal relation between genetically proxied LDL-C and CAD, all-cause mortality, and safety outcomes (including hemorrhagic stroke, diabetes mellitus, overall cancer, non-cardiovascular death, and dementia). No significant non-linear associations were observed for CAD, all-cause mortality, and safety outcomes (Cochran Q P > 0.25 in British and Chinese) with LDL-C levels above the minimum values of 50 mg/dL and 20 mg/dL in British and Chinese, respectively. Linear MR analyses demonstrated a positive association of LDL-C with CAD (British: odds ratio [OR] per unit mmol/L increase, 1.75, P = 7.57 × 10-52; Chinese: OR, 2.06, P = 9.10 × 10-3). Furthermore, stratified analyses restricted to individuals with LDL-C levels less than the guidelines-recommended 70 mg/dL demonstrated lower LDL-C levels were associated with a higher risk of adverse events, including hemorrhagic stroke (British: OR, 0.72, P = 0.03) and dementia (British: OR, 0.75, P = 0.03). In British and Chinese populations, we confirmed a linear dose-response relationship of LDL-C with CAD and found potential safety concerns at low LDL-C levels, providing recommendations for monitoring adverse events in people with low LDL-C in the prevention of cardiovascular disease.","",""
0,"Yi Song, David R Bell, Rizwan Ahmed, Kevin C Chan, Sangyun Lee, Abdel Rahim A Hamad, Ruhong Zhou","A mutagenesis study of autoantigen optimization for potential T1D vaccine design.",2023,"Proceedings of the National Academy of Sciences of the United States of America","","","",4,"2023-04-11 18:38:36","Journal Article","10.1073/pnas.2214430120","1091-6490","",120,16,,,0,0.00,0,7,1,"A previously reported autoreactive antigen, termed the X-idiotype, isolated from a unique cell population in Type 1 diabetes (T1D) patients, was found to stimulate their CD4+ T cells. This antigen was previously determined to bind more favorably than insulin and its mimic (insulin superagonist) to HLA-DQ8, supporting its strong role in CD4+ T cell activation. In this work, we probed HLA-X-idiotype-TCR binding and designed enhanced-reactive pHLA-TCR antigens using an in silico mutagenesis approach which we functionally validated by cell proliferation assays and flow cytometry. From a combination of single, double, and swap mutations, we identified antigen-binding sites p4 and p6 as potential mutation sites for HLA binding affinity enhancement. Site p6 is revealed to favor smaller but more hydrophobic residues than the native tyrosine, such as valine (Y6V) and isoleucine (Y6I), indicating a steric mechanism in binding affinity improvement. Meanwhile, site p4 methionine mutation to hydrophobic residues isoleucine (M4I) or leucine (M4L) modestly increases HLA binding affinity. Select p6 mutations to cysteine (Y6C) or isoleucine (Y6I) exhibit favorable TCR binding affinities, while a swap p5-p6 tyrosine-valine double mutant (V5Y_Y6V) and a p6-p7 glutamine-glutamine double mutant (Y6Q_Y7Q) exhibit enhanced HLA binding affinity but weakened TCR affinity. This work holds relevance to potential T1D antigen-based vaccine design and optimization.","",""
0,"Jongdee Nopparat, Pissared Khuituan, Saranya Peerakietkhajorn, Rawee Teanpaisan","Probiotics of Lacticaseibacillus paracasei SD1 and Lacticaseibacillus rhamnosus SD11 attenuate inflammation and β-cell death in streptozotocin-induced type 1 diabetic mice.",2023,"PloS one","","","",5,"2023-04-11 18:38:36","Journal Article","10.1371/journal.pone.0284303","1932-6203","",18,4,,,0,0.00,0,4,1,"Probiotics provide health benefits in various aspects and are believed to modulate the immune system by balancing gut microbiota homeostasis, termed the ""microbiota-immune axis"". Recent evidence supports that several Lactobacillus strains possess glucose-lowering and anti-inflammatory effects in an animal model of type 1 diabetes (T1D). Although probiotics of Lacticaseibacillus paracasei SD1 (SD1) and Lacticaseibacillus rhamnosus SD11 (SD11) exert human oral health benefits by reducing harmful bacterial populations, their clinical application regarding hypoglycemic-related traits as well as the underlying mechanisms are still lacking. In this report, we used multiple low doses of streptozotocin (STZ)-induced diabetic BALB/c mice to explore the effects of SD1 and SD11 supplementation on the regulation of markers related to T1D. Experimental mice were randomly assigned into five groups, non-STZ + V, STZ + V, STZ + SD1, STZ + SD11, and STZ + SDM (mixture of SD1 and SD11), and physiological data were measured every week. Blood and pancreas samples were collected at 4- and 8-weeks. Our results indicate that supplementation with SD1, SD11, or SDM for 8 weeks significantly improved body weights, glycemic levels, glucose tolerance, insulin levels, and lipid profiles. Probiotic administration also preserved islet integrity and increased β-cell mass in STZ-injected mice, as well as prevented infiltration of macrophages, CD4+, and CD8+ T cells into the islets. Significantly, SD1 and SD11 suppressed the levels of IL1-β, TNF-α and IFN-γ and increased IL-10, which is concomitant with the inhibition of cleaved caspase 3, caspase 9, caspase 8, proapoptotic Bax, NF-κBp65, pSTAT1, and iNOS. Additionally, the survival ability of β-cells was mediated by upregulated anti-apoptotic Bcl2. We conclude that SD1 and SD11 attenuate STZ-induced diabetic mice by stabilizing glycemic levels and reducing inflammation, thereby protecting β-cells. Among the probiotic treatment groups, SD11 revealed the best results in almost all parameters, indicating its potential use for alleviating hyperglycemia-associated symptoms.","",""
0,"R Constance Wiener, Christopher Waters, Emily Morgan, Patricia A Findley, Chan Shen, Hao Wang, Usha Sambamoorthi","Increase in body mass index during the COVID-19 pandemic among people who smoke: An analysis of multi-site electronic health records.",2023,"PLOS global public health","","","",6,"2023-04-11 18:38:36","Journal Article","10.1371/journal.pgph.0001474","2767-3375","",3,4,,,0,0.00,0,7,1,"The effects of the COVID-19 period among people who smoke (compared by sex) are largely unknown. The purpose of this study was to compare body mass index (BMI) increase among men and women who smoked during the pandemic. We used a retrospective longitudinal, observational study design of secondary data. We used electronic health records from TriNetX network (n = 486,072) from April 13, 2020-May 5, 2022 among adults aged 18-64 who smoked and had a normal BMI prior to the pandemic. The main measure was a change of BMI from < 25 to ≥25. Risk ratio was determined between men and women with propensity score matching. Overall, 15.8% increased BMI to ≥25; 44,540 (18.3%) were women and 32,341 (13.3%) were men (Risk Ratio = 1.38, 95% CI: 1.36, 1.40; p < .0001). Adults with diabetes, hypertension, asthma, COPD or emphysema or who were women, were more likely to develop BMI≥25 during the pandemic. Women who smoked were more likely to have an increase in BMI than men who smoked during the COVID-19 period.","",""
0,"Chen Xue, Ganglei Li, Xinyu Gu, Yuanshuai Su, Qiuxian Zheng, Xin Yuan, Zhengyi Bao, Juan Lu, Lanjuan Li","Health and Disease: Akkermansia muciniphila, the Shining Star of the Gut Flora.",2023,"Research (Washington, D.C.)","","","",7,"2023-04-11 18:38:36","Journal Article","10.34133/research.0107","2639-5274","",6,,107,,0,0.00,0,9,1,"Akkermansia muciniphila (A. muciniphila) has drawn much attention as an important gut microbe strain in recent years. A. muciniphila can influence the occurrence and development of diseases of the endocrine, nervous, digestive, musculoskeletal, and respiratory systems and other diseases. It can also improve immunotherapy for some cancers. A. muciniphila is expected to become a new probiotic in addition to Lactobacillus and Bifidobacterium. An increase in A. muciniphila abundance through direct or indirect A. muciniphila supplementation may inhibit or even reverse disease progression. However, some contrary findings are found in type 2 diabetes mellitus and neurodegenerative diseases, where increased A. muciniphila abundance may aggravate the diseases. To enable a more comprehensive understanding of the role of A. muciniphila in diseases, we summarize the relevant information on A. muciniphila in different systemic diseases and introduce regulators of A. muciniphila abundance to promote the clinical transformation of A. muciniphila research.","",""
0,"Xiang Wan, Hai-Jun Yao, Min-Kai Xie, Jian-Shu Ni, Da-Jun Gao, Zhong Wang, Bin Xu, Da-Chao Zheng","A comparative study of two single-stage oral mucosal substitution urethroplasty (Kulkarni and Asopa) in the surgical treatments of lichen sclerosus urethral strictures.",2023,"Asian journal of andrology","","","",8,"2023-04-11 18:38:36","Journal Article","10.4103/aja20236","1745-7262","",,,,,0,0.00,0,8,1,"Long-segment lichen sclerosus (LS) urethral stricture is a challenge for urologists. Limited data are available for surgeons to make a surgical decision between Kulkarni and Asopa urethroplasty. In this retrospective study, we investigated the outcomes of these two procedures in patients with LS urethral stricture. Between January 2015 and December 2020, 77 patients with LS urethral stricture underwent Kulkarni and Asopa procedures for urethroplasty in the Department of Urology, Shanghai Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine (Shanghai, China). Of the 77 patients, 42 (54.5%) underwent the Asopa procedure and 35 (45.5%) underwent the Kulkarni procedure. The overall complication rate was 34.2% in the Kulkarni group and 19.0% in the Asopa group, and no difference was observed (P = 0.105). Among the complications, no statistical difference was observed in the incidence of urethral stricture recurrence (P = 0.724) or glans dehiscence (P = 0.246) except for postoperative meatus stenosis (P = 0.020). However, the recurrence-free survival rate between the two procedures was significantly different (P = 0.016). Cox survival analysis showed that antiplatelet/anticoagulant therapy use (P = 0.020), diabetes (P = 0.003), current/former smoking (P = 0.019), coronary heart disease (P < 0.001), and stricture length (P = 0.028) may lead to a higher hazard ratio of complications. Even so, these two techniques can still provide acceptable results with their own advantages in the surgical treatment of LS urethral strictures. The surgical alternative should be considered comprehensively according to the patient characteristics and surgeon preferences. Moreover, our results showed that antiplatelet/anticoagulant therapy use, diabetes, coronary heart disease, current/former smoking, and stricture length may be contributing factors of complications. Therefore, patients with LS are advised to undergo early interventions for better therapeutic effects.","",""
0,"Lisa Chang, Yoshimi Fukuoka, Bradley E Aouizerat, Li Zhang, Elena Flowers","Prediction of Weight Loss to Decrease the Risk for Type 2 Diabetes Using Multidimensional Data in Filipino Americans: Secondary Analysis.",2023,"JMIR diabetes","","","",9,"2023-04-11 18:38:36","Journal Article","10.2196/44018","2371-4379","",8,,,,0,0.00,0,5,1,"Type 2 diabetes (T2D) has an immense disease burden, affecting millions of people worldwide and costing billions of dollars in treatment. As T2D is a multifactorial disease with both genetic and nongenetic influences, accurate risk assessments for patients are difficult to perform. Machine learning has served as a useful tool in T2D risk prediction, as it can analyze and detect patterns in large and complex data sets like that of RNA sequencing. However, before machine learning can be implemented, feature selection is a necessary step to reduce the dimensionality in high-dimensional data and optimize modeling results. Different combinations of feature selection methods and machine learning models have been used in studies reporting disease predictions and classifications with high accuracy. The purpose of this study was to assess the use of feature selection and classification approaches that integrate different data types to predict weight loss for the prevention of T2D. The data of 56 participants (ie, demographic and clinical factors, dietary scores, step counts, and transcriptomics) were obtained from a previously completed randomized clinical trial adaptation of the Diabetes Prevention Program study. Feature selection methods were used to select for subsets of transcripts to be used in the selected classification approaches: support vector machine, logistic regression, decision trees, random forest, and extremely randomized decision trees (extra-trees). Data types were included in different classification approaches in an additive manner to assess model performance for the prediction of weight loss. Average waist and hip circumference were found to be different between those who exhibited weight loss and those who did not exhibit weight loss (P=.02 and P=.04, respectively). The incorporation of dietary and step count data did not improve modeling performance compared to classifiers that included only demographic and clinical data. Optimal subsets of transcripts identified through feature selection yielded higher prediction accuracy than when all available transcripts were included. After comparison of different feature selection methods and classifiers, DESeq2 as a feature selection method and an extra-trees classifier with and without ensemble learning provided the most optimal results, as defined by differences in training and testing accuracy, cross-validated area under the curve, and other factors. We identified 5 genes in two or more of the feature selection subsets (ie, CDP-diacylglycerol-inositol 3-phosphatidyltransferase [CDIPT], mannose receptor C type 2 [MRC2], PAT1 homolog 2 [PATL2], regulatory factor X-associated ankyrin containing protein [RFXANK], and small ubiquitin like modifier 3 [SUMO3]). Our results suggest that the inclusion of transcriptomic data in classification approaches for prediction has the potential to improve weight loss prediction models. Identification of which individuals are likely to respond to interventions for weight loss may help to prevent incident T2D. Out of the 5 genes identified as optimal predictors, 3 (ie, CDIPT, MRC2, and SUMO3) have been previously shown to be associated with T2D or obesity. ClinicalTrials.gov NCT02278939; https://clinicaltrials.gov/ct2/show/NCT02278939.","",""
0,"Elham Esfandiari, William C Miller, Sheena King","Usability of Self-Management for Amputee Rehabilitation using Technology (SMART): An online self-management program for users with lower limb loss.",2023,"Prosthetics and orthotics international","","","",10,"2023-04-11 18:38:36","Journal Article","10.1097/PXR.0000000000000152","1746-1553","",47,2,172,180,0,0.00,0,3,1,"Individuals with lower limb loss (LLL) need education to adapt to their amputation. Self-management programs provide education and supportive skills to manage health-related physical and psychological challenges. eHealth technologies, such as online platforms, are increasing access to educational resources. We designed an online self-management program for individuals with LLL called Self-Management for Amputee Rehabilitation using Technology (SMART); however, before evaluating its efficacy, we wanted to understand its appropriateness in the target population. To assess the usability of SMART among individuals with LLL. The study used a concurrent and retrospective think-aloud process. Individuals with LLL, aged 18 years or older (n = 9), reviewed the modules during an online video conferencing session with an assessor. SMART included four stakeholder-informed modules with 18 total sections. Participants were asked to think aloud while completing 11 SMART tasks, such as entering SMART, goal setting, finding skin care, and reading the content of 10 sections, including limb care, diet, fatigue, and energy. The interviews were transcribed verbatim and analyzed using directed content analysis. The median age was 58 (range: 30-69) years. Overall, SMART was perceived as straightforward, easy to navigate, and an accessible resource for education and skills. Difficulties were identified with navigation (e.g. skipping the ""Foot care for diabetes"" section), presentation (e.g. unclear audio), and language (e.g. pistoning and contracture). SMART was redesigned to address the usability issues. The next step is to explore the perceived usefulness of SMART for content and intention to use.","",""
